index,strategy,utility,reserved_value,advantage,partner_welfare,welfare,scenario,partners,time,negotiator_id,has_error,self_error,mechanism_error,error_details,mechanism_name,nash_optimality,kalai_optimality,max_welfare_optimality,pareto_optimality
0,Group14,0.6078115211409235,0.39047136220795425,0.35657087371687973,0.3921884788590765,0.5,DivideThePie3,Conceder,2.60963580023963,nC3CoAEgc,False,False,False,,-17702657956566947,0.9385605490165275,0.9385605490165275,1.0,1.0
1,Conceder,0.3921884788590765,0.051476231046262415,0.3592026462221756,0.6078115211409235,0.5,DivideThePie3,Group14,0.04914100014138967,ncY3rPuLR,False,False,False,,-17702657956566947,0.9385605490165275,0.9385605490165275,1.0,1.0
2,Boulware,0.6768161115142906,0.24608804502444664,0.5713240964640373,0.31598807267160817,0.4964020920929494,S1,RVFitter,0.1242668021004647,nwxDlYRAA,False,False,False,,7971855320972918094,0.8632008037941454,0.8632008037941454,0.9887768398319484,0.997427942532318
3,RVFitter,0.31598807267160817,0.16169909259833515,0.18404963982622383,0.6768161115142906,0.4964020920929494,S1,Boulware,3.5542017987463623,nKib6FZou,False,False,False,,7971855320972918094,0.8632008037941454,0.8632008037941454,0.9887768398319484,0.997427942532318
4,Conceder,0.6238556778850558,0.08748260015232343,0.5877949043188297,0.2925740614109983,0.45821486964802705,S6,NashSeeker,0.08585390006192029,nUxTRqoU4,False,False,False,,307418035929915940,0.7619241740161715,0.8588451345966848,0.8483453537230689,1.0
5,NashSeeker,0.2925740614109983,0.05073732679259073,0.25476271367679426,0.6238556778850558,0.45821486964802705,S6,Conceder,0.038118499564006925,nG9NwuP6u,False,False,False,,307418035929915940,0.7619241740161715,0.8588451345966848,0.8483453537230689,1.0
6,Boulware,0.5178812669827255,0.08748260015232343,0.47166077808735163,0.37757698881381657,0.447729127898271,S6,RVFitter,1.6360615016892552,nbE1Izj4a,False,False,False,,-7152538415870006847,0.8565743651138825,0.9549078053724463,0.828931906270832,1.0
7,RVFitter,0.37757698881381657,0.05073732679259073,0.3443089792174025,0.5178812669827255,0.447729127898271,S6,Boulware,90.95130559580866,nxz4QbCWY,False,False,False,,-7152538415870006847,0.8565743651138825,0.9549078053724463,0.828931906270832,1.0
8,Conceder,0.43811180077601225,0.4231578900209886,0.025923750184548372,0.4958703318976209,0.4669910663368166,S4,RVFitter,0.24218579824082553,n7mE6m4kI,False,False,False,,298132443312833936,0.9785364887163344,0.9785364887163344,0.9973170291554616,1.0
9,RVFitter,0.4958703318976209,0.441290978200903,0.09768833429781949,0.43811180077601225,0.4669910663368166,S4,Conceder,11.335617901175283,nYo1QHSF7,False,False,False,,298132443312833936,0.9785364887163344,0.9785364887163344,0.9973170291554616,1.0
10,Group14,0.5782118138288013,0.5290060427917411,0.1049446944935662,0.5291204419631275,0.5536661278959644,S2,Boulware,0.48442610062193125,nsWYa76vs,False,False,False,,-2389603956054512899,0.654511616224148,0.7289702738421329,0.7392092600846888,1.0
11,Boulware,0.5291204419631275,0.12880713941900795,0.701820087355448,0.5782118138288013,0.5536661278959644,S2,Group14,0.021932099596597254,nfylVjzwY,False,False,False,,-2389603956054512899,0.654511616224148,0.7289702738421329,0.7392092600846888,1.0
12,MiCRO,0.4231578900209886,0.4231578900209886,0.0,0.441290978200903,0.4322244341109458,S4,Group14,0.18173029937315732,na3tEz0Of,False,False,False,,-4031554210091563162,0.964630041074795,0.964630041074795,0.9230685973016541,0.964630041074795
13,Group14,0.441290978200903,0.441290978200903,0.0,0.4231578900209886,0.4322244341109458,S4,MiCRO,1.1638539015548304,nUt3uo94L,False,False,False,,-4031554210091563162,0.964630041074795,0.964630041074795,0.9230685973016541,0.964630041074795
14,Linear,0.5952724721218058,0.3988656738949788,0.3267269721551614,0.31504378027967733,0.4551581262007416,S7,Conceder,0.05880099954083562,nCfF4IIs9,False,False,False,,-3546758280638671940,0.8771724418243545,0.9404644880556234,0.881088926431549,1.0
15,Conceder,0.31504378027967733,0.23123335809650097,0.10901932734185522,0.5952724721218058,0.4551581262007416,S7,Linear,0.04289100132882595,nWbmZkTcx,False,False,False,,-3546758280638671940,0.8771724418243545,0.9404644880556234,0.881088926431549,1.0
16,Linear,0.5065909753919365,0.32358519754428233,0.2730258978613367,0.8025688791723676,0.6545799272821521,S9,Boulware,0.03248539904598147,nR2L6Q2FW,False,False,False,,-5118513099022728293,0.8005207195821903,0.8864994476500309,0.8739069452896799,1.0
17,Boulware,0.8025688791723676,0.4016455136682362,0.6708071643331434,0.5065909753919365,0.6545799272821521,S9,Linear,0.04023599997162819,nYmab1MRE,False,False,False,,-5118513099022728293,0.8005207195821903,0.8864994476500309,0.8739069452896799,1.0
18,NashSeeker,0.5189134129841347,0.24608804502444664,0.3618796149326679,0.4807562236101559,0.4998348182971453,S1,Conceder,0.029944799840450287,nifx8UQV1,False,False,False,,-306472748443977164,0.9754253790340456,0.9754253790340456,0.9956144422962782,1.0
19,Conceder,0.4807562236101559,0.16169909259833515,0.38059976816766966,0.5189134129841347,0.4998348182971453,S1,NashSeeker,0.029432799434289336,n29oadqNK,False,False,False,,-306472748443977164,0.9754253790340456,0.9754253790340456,0.9956144422962782,1.0
20,Conceder,0.7565950456850882,0.32358519754428233,0.6460063936880776,0.6584535578142746,0.7075243017496814,S9,NashSeeker,0.010220099939033389,nDO9ggqMO,False,False,False,,-5117382007623821203,0.9946536290607619,0.9086524124450086,0.9445911423338825,1.0
21,NashSeeker,0.6584535578142746,0.4016455136682362,0.42967981089086593,0.7565950456850882,0.7075243017496814,S9,Conceder,0.02773839992005378,nG2LpS8rV,False,False,False,,-5117382007623821203,0.9946536290607619,0.9086524124450086,0.9445911423338825,1.0
22,Linear,0.32358519754428233,0.32358519754428233,0.0,0.4016455136682362,0.36261535560625924,S9,MiCRO,0.0271705009508878,n0lU6zvU9,False,False,False,,2857808483789734024,0.6451182243751973,0.6759486133543112,0.4841151775746446,0.6878395983590788
23,MiCRO,0.4016455136682362,0.4016455136682362,0.0,0.32358519754428233,0.36261535560625924,S9,Linear,0.01204089995007962,nlrNxdt10,False,False,False,,2857808483789734024,0.6451182243751973,0.6759486133543112,0.4841151775746446,0.6878395983590788
24,RVFitter,0.8960645329574315,0.5290060427917411,0.7828520984397428,0.5059744439811029,0.7010194884692672,S2,Group14,0.032737199566327035,nQvfEs7Vh,False,False,False,,-6256019495648013130,0.9162427950434405,0.9907080745474987,0.9359432901296889,1.0
25,Group14,0.5059744439811029,0.12880713941900795,0.6612410553261959,0.8960645329574315,0.7010194884692672,S2,RVFitter,3.83614929986652,npTNfHxN3,False,False,False,,-6256019495648013130,0.9162427950434405,0.9907080745474987,0.9359432901296889,1.0
26,MiCRO,0.845224279244414,0.32358519754428233,0.7782321428086386,0.6026393035155786,0.7239317913799963,S9,Boulware,0.009220200008712709,nIemELX02,False,False,False,,-339954213270465822,0.9203104595319773,0.8343186738665679,0.966496212356783,1.0
27,Boulware,0.6026393035155786,0.4016455136682362,0.33629388011978595,0.845224279244414,0.7239317913799963,S9,MiCRO,0.017171400133520365,nhuhuyfCy,False,False,False,,-339954213270465822,0.9203104595319773,0.8343186738665679,0.966496212356783,1.0
28,RVFitter,0.6238556778850558,0.08748260015232343,0.5877949043188297,0.2925740614109983,0.45821486964802705,S6,NashSeeker,8.892503500683233,nWDGxJZK3,False,False,False,,4978985349680676013,0.7619241740161715,0.8588451345966848,0.8483453537230689,1.0
29,NashSeeker,0.2925740614109983,0.05073732679259073,0.25476271367679426,0.6238556778850558,0.45821486964802705,S6,RVFitter,0.049901099409908056,nCayJRRM2,False,False,False,,4978985349680676013,0.7619241740161715,0.8588451345966848,0.8483453537230689,1.0
30,Linear,0.3947202154992502,0.08748260015232343,0.33669233638527096,0.5303639064688357,0.46254206098404294,S6,Group14,1.7468511967454106,nmcsF8uCh,False,False,False,,3166724196815087376,0.9952794278953246,0.9047811947523182,0.8563567756732112,1.0
31,Group14,0.5303639064688357,0.05073732679259073,0.505262234799207,0.3947202154992502,0.46254206098404294,S6,Linear,46.96725770144258,n2iz3hrGY,False,False,False,,3166724196815087376,0.9952794278953246,0.9047811947523182,0.8563567756732112,1.0
32,Boulware,0.3988656738949788,0.3988656738949788,0.0,0.23123335809650097,0.3150495159957399,S7,MiCRO,0.0591623013606295,nI0SInVWY,False,False,False,,-8569923077383822551,0.811495062842085,0.8412418335655323,0.609868579384738,0.8493069452528814
33,MiCRO,0.23123335809650097,0.23123335809650097,0.0,0.3988656738949788,0.3150495159957399,S7,Boulware,0.03150180063676089,n07yANXF9,False,False,False,,-8569923077383822551,0.811495062842085,0.8412418335655323,0.609868579384738,0.8493069452528814
34,Boulware,0.8463589924889822,0.5290060427917411,0.6768415096579871,0.5003317308174982,0.6733453616532401,S2,Group14,0.021767899859696627,nNXgQutbE,False,False,False,,5584703815190381805,0.8755586104881156,0.9497367847525634,0.8989950829404473,0.9925452415686334
35,Group14,0.5003317308174982,0.12880713941900795,0.6513483802133913,0.8463589924889822,0.6733453616532401,S2,Boulware,4.42479500034824,nb0m7A4vo,False,False,False,,5584703815190381805,0.8755586104881156,0.9497367847525634,0.8989950829404473,0.9925452415686334
36,Boulware,0.5456337646681022,0.24608804502444664,0.39732188575437666,0.45350192620231444,0.4995678454352083,S1,Boulware,0.14043299772311002,nuByLt3wx,False,False,False,,-1639006437586942082,0.9975859759341084,0.9975859759341084,0.995082662541616,1.0
37,Boulware,0.45350192620231444,0.16169909259833515,0.3480884143480527,0.5456337646681022,0.4995678454352083,S1,Boulware,0.1366483010351658,nnLjFvZRF,False,False,False,,-1639006437586942082,0.9975859759341084,0.9975859759341084,0.995082662541616,1.0
